지역,가맹점명,분류,주소
전남 ,신안군청(천사섬분재공원),관광지,전남 신안군 압해읍 수락길 330 (송공리) 
전남 ,대광개발사업소,미술,전라남도 신안군 임자면 대광해수욕장길 179 
전남 ,지도 여객 자동차 터미널,교통수단,전남 신안군 지도읍 해제지도로 1240 
전북 ,목화장여관,숙박,전북 김제시 요촌동 동서3길 32 목화장모텔 모텔 
전북 ,삼화서점,도서,전북 김제시 화동길 30 
전북 ,김제한국문화센타,문화체험,전라북도 김제시  중앙로 262 한국문화센터 김제지부
전북 ,모텔 궁,숙박,전북 김제시 진봉면 심포6길 89-5  
전북 ,남원자연휴양림,관광지,전북 남원시 보산로 228 
전북 ,진서점,도서,전북 남원시 광한북로 45-1 (하정동) 
전북 ,드림디포,도서,전북 남원시 광한북로 50 
전북 ,곽은희사진실(사진관),미술,전북 남원시 남문로 394-1 
전북 ,남원가온공예협동조합,문화체험,전라북도 남원시  남문로 472 
전북 ,행운장여관,숙박,전북 남원시 충정로 230-12 
전북 ,보금파크텔,숙박,전북 남원시 충정로 230-10 
전북 ,팬시앤북,도서,전북 남원시 역재1길 15 
전북 ,모형교재,도서,전북 남원시 남문로 469  
전북 ,남원 공용 버스 터미널,교통수단,전북 남원시 동충동 37-1 
전북 ,(유) 하나로관광,여행사,전북 남원시 동충동 광한북로 101 
전북 ,솔고개민박,숙박,전북 남원시 산내면 천왕봉로 654  
전북 ,가인쉼터,숙박,전북 남원시 산내면 지리산로 1357-8 
전북 ,열린도서,도서,전북 전주시 완산구 공북로 58 (태평동) 
전북 ,공주님솜씨방,미술,전북 전주시 완산구 태조로 43  
전북 ,온고을,숙박,전북 전주시 완산구 향교길 51-10 
전북 ,노송동간이정류소,교통수단,전북 전주시 완산구 기린대로 123 
전북 ,사단법인 전북예술문화원,공연,전라북도 전주시 완산구  내원당길 50 
전북 ,풍남관광호텔,숙박,전북 전주시 완산구 전주객사2길 45-7  
전북 ,명성악기사,음악,전북 전주시 완산구 다가동3가81-1 
전북 ,한가서림,도서,전북 전주시 완산구 동문길 102 (경원동1가) 
전북 ,일신서점,도서,전북 전주시 완산구 동문길 120 (전동) 
전북 ,우림서점,도서,전북 전주시 완산구 마당재3길 20-22 (중노송동) 
전북 ,(유)우리여행사,여행사,전북 전주시 완산구 마전로 5 (효자동3가) 
전북 ,전주영광기독백화점,도서,전북 전주시 완산구 백제대로 133 (효자동1가) 
전북 ,현대서점,도서,전북 전주시 완산구 성지산로 36 
전북 ,신해성서점,도서,전북 전주시 완산구 계룡산길 88-7  
전북 ,완산서점,도서,전북 전주시 완산구 삼천동3가  417 
제주 ,제주여행렌트카,교통수단,제주 제주시 대통길 75(내도동) 
제주 ,(주)제이케이투어,여행사,제주 제주시 도근내길 27 신영빌딩4층 (외도2동) 
제주 ,블루비치 민박,숙박,제주 제주시 도두항서길 59 (도두1동) 
제주 ,(주) 제주월드투어,여행사,제주 제주시 도령로 87 현대오피스텔 921 (연동) 
제주 ,세종포토,미술,제주 제주시 동광로 115 
제주 ,신천지,숙박,제주 제주시 동대북길 1 
제주 ,제주영성모텔,숙박,제주 제주시 동문로10길 1 
제주 ,삼양서점,도서,제주 제주시 번영로 471 
제주 ,제주이벤트프로모션,공연,제주 제주시 봉개 6길 5 
제주 ,에이원호텔 (A1 hotel),숙박,제주 제주시 사장1길 10 
